,book,series,releaseNumber,author,description,numPages,format,genres,publication,rating,numberOfVoters
0,The Restaurant at the End of the Universe,The Hitchhiker's Guide to the Galaxy,2,Douglas Adams,"Facing annihilation at the hands of the warlike Vogons is a curious time to have a cosmically displaced Arthur Dent and his curious comrades in arms as they hurtle through space powered by pure improbability - and desperately in search of a place to eat. Among Arthur's motley shipmates are Ford Prefect, a long-time friend and contributor to the The Hitch Hiker's Guide to the Galaxy; Zaphod Beeblebrox, the three-armed, two-headed ex-president of the galaxy; Tricia McMilan, a fellow Earth refuge who's gone native (her name is Trillian now); and Marvin, who suffers nothing and no one gladly.
Source: douglasadams.com",250.0,Paperback,"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Comedy', 'Classics', 'Science Fiction Fantasy']","October 12, 1980",4.21,283375
1,The Name of the Rose,,,Umberto Eco,"The year is 1327. Benedictines in a wealthy Italian abbey are suspected of heresy, and Brother William of Baskerville arrives to investigate. When his delicate mission is suddenly overshadowed by seven bizarre deaths, Brother William turns detective. His tools are the logic of Aristotle, the theology of Aquinas, the empirical insights of Roger Bacon—all sharpened to a glistening edge by wry humor and a ferocious curiosity. He collects evidence, deciphers secret symbols and coded manuscripts, and digs into the eerie labyrinth of the abbey, where “the most interesting things happen at night.”",536.0,Paperback,"['Fiction', 'Historical Fiction', 'Mystery', 'Classics', 'Historical', 'Literature', 'Italian Literature']","January 1, 1980",4.14,360732
2,The Clan of the Cave Bear,Earth's Children,1,Jean M. Auel,"This novel of awesome beauty and power is a moving saga about people, relationships, and the boundaries of love. Through Jean M. Auel’s magnificent storytelling we are taken back to the dawn of modern humans, and with a girl named Ayla we are swept up in the harsh and beautiful Ice Age world they shared with the ones who called themselves The Clan of the Cave Bear.
A natural disaster leaves the young girl wandering alone in an unfamiliar and dangerous land until she is found by a woman of the Clan, people very different from her own kind. To them, blond, blue-eyed Ayla looks peculiar and ugly--she is one of the Others, those who have moved into their ancient homeland; but Iza cannot leave the girl to die and takes her with them. Iza and Creb, the old Mog-ur, grow to love her, and as Ayla learns the ways of the Clan and Iza’s way of healing, most come to accept her. But the brutal and proud youth who is destined to become their next leader sees her differences as a threat to his authority. He develops a deep and abiding hatred for the strange girl of the Others who lives in their midst, and is determined to get his revenge.",512.0,Paperback,"['Historical Fiction', 'Fiction', 'Fantasy', 'Historical', 'Classics', 'Adventure', 'Prehistoric']","January 1, 1980",4.09,264630
3,Firestarter,,,Stephen King,"The Department of Scientific Intelligence (aka ""The Shop"") never anticipated that two participants in their research program would marry and have a child. Charlie McGee inherited pyrokinetic powers from her parents, who had been given a low-grade hallucinogen called ""Lot Six"" while at college. Now the government is trying to capture young Charlie and harness her powerful firestarting skills as a weapon.
--stephenking.com",564.0,Mass Market Paperback,"['Horror', 'Fiction', 'Thriller', 'Science Fiction', 'Fantasy', 'Paranormal', 'Suspense']","September 29, 1980",3.91,226270
4,Cosmos,,,Carl Sagan,"The story of fifteen billion years of cosmic evolution transforming matter and life into consciousness, of how science and civilisation grew up together, and of the forces and individuals who helped shape modern science. A story told with Carl Sagan's remarkable ability to make scientific ideas both comprehensible and exciting, based on his acclaimed television series.",384.0,Mass Market Paperback,"['Science', 'Nonfiction', 'Physics', 'Astronomy', 'History', 'Space', 'Philosophy']","January 1, 1980",4.39,144686
5,The Bourne Identity,Jason Bourne,1,Robert Ludlum,"Who is Jason Bourne? Is he an assassin, a terrorist, a thief? Why has he got four million dollars in a Swiss bank account? Why has someone tried to murder him?...
Jason Bourne does not know the answer to any of these questions. Suffering from amnesia, he does not even know that he 
is
 Jason Bourne. What manner of man is he? What are his secrets? Who has he killed?",566.0,Paperback,"['Fiction', 'Thriller', 'Mystery', 'Suspense', 'Espionage', 'Adventure', 'Action']","February 4, 1980",4.05,431083
6,A Confederacy of Dunces,,,John Kennedy Toole,"Here is Ignatius Reilly: slob extraordinary, a mad Oliver Hardy, a fat Don Quixote, a perverse Thomas Aquinas rolled into one, who is in violent revolt against the entire modern age, lying in his flannel nightshirt in a back bedroom on Constantinople Street in New Orleans, who between gigantic seizures of flatulence and eructations is filling dozens of Big Chief tablets with invective.
His mother thinks he needs to go to work. He does, in a succession of jobs. Each job rapidly escalates into a lunatic adventure, a full-blown disaster; yet each has, like Don Quixote's, its own eerie logic.
His girlfriend, Myrna Minkoff of the Bronx, thinks he needs sex. 
Ignatius is an intellectual, ideologue, deadbeat, goof-off, glutton, who should repel the reader with his gargantuan bloats, his thunderous contempt, and one-man war against everybody: Freud, homosexuals, heterosexuals, Protestants, and the assorted excesses of modern times. 
A tragicomedy, set in New Orleans.",394.0,Paperback,"['Fiction', 'Humor', 'Literature', 'Comedy', 'Novels', 'Classics', 'American']","May 1, 1980",3.89,272471
7,Congo,,,Michael Crichton,"Deep in the African rain forest, near the legendary ruins of the Lost City of Zinj, an expedition of eight American geologists is mysteriously and brutally killed in a matter of minutes.
Ten thousand miles away, Karen Ross, the Congo Project Supervisor, watches a gruesome video transmission of the aftermath: a camp destroyed, tents crushed and torn, equipment scattered in the mud alongside dead bodies — all motionless except for one moving image — a grainy, dark, man-shaped blur.
In San Francisco, primatologist Peter Elliot works with Amy, a gorilla with an extraordinary vocabulary of 620 “signs,” the most ever learned by a primate, and she likes to fingerpaint. But recently, her behavior has been erratic and her drawings match, with stunning accuracy, the brittle pages of a Portuguese print dating back to 1642 . . . a drawing of an ancient lost city. A new expedition — along with Amy — is sent into the Congo where they enter a secret world, and the only way out may be through a horrifying death …
source: michaelcrichton.com",480.0,Mass Market Paperback,"['Fiction', 'Science Fiction', 'Thriller', 'Adventure', 'Horror', 'Mystery', 'Suspense']","January 1, 1980",3.62,170347
8,One Corpse Too Many,Chronicles of Brother Cadfael,2,Ellis Peters,"In the summer of 1138, war between King Stephen and the Empress Maud takes Brother Cadfael from the quiet world of his garden into a battlefield of passions, deceptions, and death. Not far from the safety of the abbey walls, Shrewsbury Castle falls, leaving its ninety-four defenders loyal to the empress to hang as traitors. With a heavy heart, Brother Cadfael agrees to bury the dead, only to make a grisly discovery: one extra victim that has been strangled, not hanged.",214.0,Mass Market Paperback,"['Mystery', 'Historical Fiction', 'Fiction', 'Historical', 'Crime', 'Historical Mystery', 'Medieval']","June 1, 1979",4.08,16138
9,The Indian in the Cupboard,The Indian in the Cupboard,1,Lynne Reid Banks,"At first, Omri is unimpressed with the plastic Indian toy he is given for his birthday. But when he puts it in his old cupboard and turns the key, something extraordinary happens that will change Omri's life for ever. 
For Little Bear, the Iroquois Indian brave, comes to life...",192.0,Paperback,"['Fantasy', 'Childrens', 'Fiction', 'Young Adult', 'Classics', 'Middle Grade', 'Juvenile']","January 1, 1980",3.93,105145
